"word","n"
"weather",5
"wellbeing",5
"west",5
"whatsapp",5
"wo",5
"woolworths",5
"zombieapocalypse",5
"100000",4
"17th",4
"2019cov",4
"28",4
"35",4
"45",4
"7am",4
"8am",4
"abundance",4
"accept",4
"adding",4
"adults",4
"advance",4
"ag",4
"airport",4
"alright",4
"amzn",4
"analysts",4
"animal",4
"announcement",4
"annoying",4
"answers",4
"applies",4
"appointments",4
"approach",4
"arabia",4
"arrested",4
"asda",4
"ashamed",4
"aspects",4
"asses",4
"assure",4
"atlanta",4
"atm",4
"awful",4
"b4",4
"bacterial",4
"band",4
"bay",4
"beach",4
"beating",4
"beijing",4
"bits",4
"biz",4
"bond",4
"border",4
"bored",4
"bottom",4
"brewery",4
"brick",4
"british",4
"broadband",4
"broke",4
"btc",4
"bts",4
"buffalo",4
"ca",4
"canadians",4
"cancellation",4
"cancellations",4
"cancelling",4
"cashing",4
"caught",4
"cc",4
"center",4
"centers",4
"centre",4
"challenge",4
"changed",4
"charity",4
"chase",4
"cheapest",4
"chicago",4
"chili",4
"chocolate",4
"choices",4
"cleaned",4
"cleaners",4
"cleared",4
"clerk",4
"closure",4
"clothes",4
"clothing",4
"clowns",4
"cnn",4
"coles",4
"collapse",4
"collect",4
"comfort",4
"complaint",4
"computer",4
"concerts",4
"condition",4
"condoms",4
"connection",4
"considered",4
"constantly",4
"consumption",4
"contagion",4
"contained",4
"contrast",4
"controlling",4
"controls",4
"corn",4
"coronaviruscovid19",4
"council",4
"covid19italia",4
"coworker",4
"coz",4
"crap",4
"crowd",4
"crudeoil",4
"cruise",4
"currency",4
"decency",4
"declares",4
"dedicated",4
"deep",4
"democrats",4
"development",4
"diagnosed",4
"didn",4
"disabilities",4
"discounted",4
"discuss",4
"disinfectants",4
"disinfection",4
"disrupted",4
"distances",4
"district",4
"documents",4
"donaldtrump",4
"dublin",4
"earn",4
"eats",4
"efficient",4
"elbow",4
"elders",4
"elected",4
"election",4
"emailed",4
"emergencyubi",4
"employer",4
"en",4
"enhanced",4
"equipment",4
"eu",4
"expects",4
"explains",4
"export",4
"exports",4
"facemasks",4
"factory",4
"fail",4
"fallen",4
"fashion",4
"fat",4
"fb",4
"feared",4
"film",4
"fish",4
"fixed",4
"fl",4
"flipkart",4
"folk",4
"foodsupplies",4
"foodwaste",4
"forever",4
"forgot",4
"formula",4
"fortunate",4
"foxnews",4
"fr",4
"fucked",4
"fuq",4
"garlic",4
"gay",4
"gear",4
"generations",4
"globally",4
"gougers",4
"gratitude",4
"grow",4
"grows",4
"guarantee",4
"guard",4
"guidance",4
"gyms",4
"halt",4
"hamster",4
"hamsters",4
"handled",4
"handwash",4
"heads",4
"held",4
"highriskcovid19",4
"hitting",4
"hoax",4
"hold",4
"hopes",4
"hurricane",4
"hv",4
"ideas",4
